"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"99407099999","2010-01-01","47.68","-124.49","21.3","DESTRUCTION IS. WA, WA US","  48.1","23","9999.9"," 0","1004.7","23","999.9"," 0","999.9"," 0"," 30.0","23"," 42.0"," 47.0","  49.1","*","  46.4","*"," 0.00","I","999.9","000000"
"99407099999","2010-01-02","47.68","-124.49","21.3","DESTRUCTION IS. WA, WA US","  46.9","24","9999.9"," 0","1016.7","24","999.9"," 0","999.9"," 0"," 19.4","24"," 27.0"," 29.9","  47.7","*","  46.0","*"," 0.00","I","999.9","000000"
"99407099999","2010-01-03","47.68","-124.49","21.3","DESTRUCTION IS. WA, WA US","  44.3","24","9999.9"," 0","1023.8","24","999.9"," 0","999.9"," 0","  9.3","24"," 14.0","999.9","  47.3","*","  41.9","*"," 0.00","I","999.9","000000"
"99407099999","2010-01-04","47.68","-124.49","21.3","DESTRUCTION IS. WA, WA US","  48.8","24","9999.9"," 0","1014.2","24","999.9"," 0","999.9"," 0"," 14.6","24"," 28.0"," 31.1","  51.4","*","  46.6","*"," 0.00","I","999.9","000000"
"99407099999","2010-01-05","47.68","-124.49","21.3","DESTRUCTION IS. WA, WA US","  48.6","24","9999.9"," 0","1014.9","24","999.9"," 0","999.9"," 0"," 14.9","24"," 18.1"," 19.0","  49.3","*","  48.2","*"," 0.00","I","999.9","000000"
"99407099999","2010-01-06","47.68","-124.49","21.3","DESTRUCTION IS. WA, WA US","  48.8","24","9999.9"," 0","1020.3","24","999.9"," 0","999.9"," 0","  4.8","24"," 13.0"," 14.0","  51.3","*","  47.1","*"," 0.00","I","999.9","000000"
"99407099999","2010-01-07","47.68","-124.49","21.3","DESTRUCTION IS. WA, WA US","  47.1","24","9999.9"," 0","1019.6","24","999.9"," 0","999.9"," 0"," 10.3","23"," 26.0","999.9","  52.2","*","  43.9","*"," 0.00","I","999.9","000000"
"99407099999","2010-01-08","47.68","-124.49","21.3","DESTRUCTION IS. WA, WA US","  50.0","24","9999.9"," 0","1014.3","24","999.9"," 0","999.9"," 0"," 23.8","24"," 30.9"," 35.0","  51.4","*","  48.0","*"," 0.00","I","999.9","000000"
"99407099999","2010-01-09","47.68","-124.49","21.3","DESTRUCTION IS. WA, WA US","  49.6","24","9999.9"," 0","1016.4","24","999.9"," 0","999.9"," 0"," 24.2","24"," 30.9"," 32.1","  50.9","*","  48.4","*"," 0.00","I","999.9","000000"
"99407099999","2010-01-10","47.68","-124.49","21.3","DESTRUCTION IS. WA, WA US","  51.6","24","9999.9"," 0","1017.2","24","999.9"," 0","999.9"," 0"," 19.9","24"," 30.9","999.9","  54.7","*","  48.4","*"," 0.00","I","999.9","000000"
